abbr,short,long,bookCode,language
2ki,2 Kings,2 Kings,2ki,eng
আদি,আদিপুস্তক,আদি পুস্তক,gen,asm
যাত্ৰা,যাত্রাপুস্তক,যাত্ৰা পুস্তক,exo,asm
লেবী,লেবীয়া পুস্তক,লেবীয়া পুস্তক,lev,asm
গন,গননা পুস্তক,গননা পুস্তক,num,asm
দ্বি.বি.,দ্বিতীয় বিৱৰণ,দ্বিতীয় বিৱৰণ,deu,asm
যিহো,যিহোচূৱা,যিহোচূৱা,jos,asm
বিচাৰ,বিচাৰকর্তাবিলাক,বিচাৰকর্তাবিলাক,jdg,asm
ৰূথ,ৰূথ,ৰূথ,rut,asm
1চমূ,1 চমূৱেল,1 চমূৱেল,1sa,asm
2চমূ,2 চমূৱেল,2 চমূৱেল,2sa,asm
1ৰাজা,1 ৰাজাৱলী,1 ৰাজাৱলী,1ki,asm
2ৰাজা,2 ৰাজাৱলি,2 ৰাজাৱলি,2ki,asm
1 বংশা,1 বংশাৱলি,1 বংশাৱলি,1ch,asm
2বংশা,2 বংশাৱলি,2 বংশাৱলি,2ch,asm
ইজ্ৰা,ইজ্ৰা,ইজ্ৰা,ezr,asm
নহি,নহিমিয়া,নহিমিয়া,neh,asm
ইষ্ট,ইষ্টেৰ,ইষ্টেৰ,est,asm
ইয়ো,ইয়োব,ইয়োব,job,asm
গীত,গীতমালা,গীতমালা,psa,asm
হিতো,হিতোপদেশ,হিতোপদেশ,pro,asm
উপ,উপদেশক,উপদেশক,ecc,asm
পৰম,পৰমগীত,পৰমগীত,sng,asm
যিচ,যিচয়া,যিচয়া,isa,asm
যিৰি,যিৰিমিয়া,যিৰিমিয়া,jer,asm
বিলা,বিলাপ,বিলাপ,lam,asm
যিহি,যিহিষ্কেল,যিহিষ্কেল,ezk,asm
দানি,দানিয়েল,দানিয়েল,dan,asm
হোচ,হোচেয়া,হোচেয়া,hos,asm
যোৱে,যোৱেল,যোৱেল,jol,asm
আমো,আমোচ,আমোচ,amo,asm
ওব,ওবদিয়া,ওবদিয়া,oba,asm
যোনা,যোনা,যোনা,jon,asm
মীখা,মীখা,মীখা,mic,asm
নহূ,নহূম,নহূম,nam,asm
হব,হবক্কুক,হবক্কুক,hab,asm
চফ,চফনিয়া,চফনিয়া,zep,asm
হ্গ্গ,হ্গ্গয়,হ্গ্গয়,hag,asm
জখ,জখৰিয়া,জখৰিয়া,zec,asm
মলা,মলাখী,মলাখী,mal,asm
মথি,মথি,মথিয়ে লিখা শুভবাৰ্তা,mat,asm
মাৰ্ক,মাৰ্ক,মাৰ্কে লিখা শুভবাৰ্তা,mrk,asm
লূক,লূক,লূকে লিখা শুভবার্তা,luk,asm
যোহন,যোহন,যোহনে লিখা শুভবাৰ্তা,jhn,asm
পাঁচনি,পাঁচনি,পাঁচনি সকলৰ কৰ্ম,act,asm
ৰোমীয়া,ৰোমীয়া,ৰোমীয়া সকলৰ প্ৰতি পত্ৰ,rom,asm
1কৰি,1 কৰিন্থীয়া,1 কৰিন্থীয়া,1co,asm
2কৰি,2 কৰিন্থীয়া,2 কৰিন্থীয়া,2co,asm
গালা,গালাতীয়া,গালাতীয়া পত্র,gal,asm
ইফি,ইফিচীয়া,ইফিচীয়া পত্ৰ,eph,asm
ফিল,ফিলিপীয়া,ফিলিপীয়া পত্ৰ,php,asm
কল,কলচীয়া,কলচীয়া পত্ৰ,col,asm
1থিচ,1 থিচলনীকীয়া,1 থিচলনীকীয়া,1th,asm
2থিচ,2 থিচলনীকীয়া,2 থিচলনীকীয়া,2th,asm
1তীম,1 তীমথিয়,1 তীমথিয়,1ti,asm
2তীম,2 তীমথিয়,2 তীমথিয়,2ti,asm
তীত,তীত,তীতৰ প্ৰতি পত্ৰ,tit,asm
ফিলী,ফিলীমন,ফিলীমনৰ প্ৰতি পত্ৰ,phm,asm
ইব্ৰী,ইব্ৰী,ইব্ৰীসকলৰ প্ৰতি পত্ৰ,heb,asm
যাকো,যাকোব,যাকোবৰ পত্ৰ,jas,asm
1পিত,1 পিতৰ,1 পিতৰ,1pe,asm
2পিত,2 পিতৰ,2 পিতৰ,2pe,asm
1যো,1 যোহন,1 যোহন,1jn,asm
2যো,2 যোহন,2 যোহন,2jn,asm
3যো,3 যোহন,3 যোহন,3jn,asm
যিহূদা,যিহূদা,যিহূদাৰ পত্ৰ,jud,asm
প্ৰকা,প্ৰকাশিত বাক্য,যোহনৰ প্ৰতি প্ৰকাশিত বাক্য,rev,asm
আদি,আদি,আদি পুস্তক,gen,ben
যাত্ৰা,যাত্ৰা,যাত্ৰা পুস্তক,exo,ben
লেবী,লেবীয়া,লেবীয়া পুস্তক,lev,ben
গন,গননা,গননা পুস্তক,num,ben
1 રાજા.,1 રાજાઓ,1 રાજાઓ,1ki,guj
দ্বি.বি.,দ্বিতীয় বিৱৰণ,দ্বিতীয় বিৱৰণ,deu,ben
যিহো,যিহোচূৱা,যিহোচূৱা,jos,ben
বিচাৰ,বিচাৰকর্তাবিলাক,বিচাৰকর্তাবিলাক,jdg,ben
ৰূথ,ৰূথ,ৰূথ,rut,ben
1চমূ,1 চমূৱেল,1 চমূৱেল,1sa,ben
2চমূ,2 চমূৱেল,2 চমূৱেল,2sa,ben
1ৰাজা,1 ৰাজাৱলী,1 ৰাজাৱলী,1ki,ben
2ৰাজা,2 ৰাজাৱলি,2 ৰাজাৱলি,2ki,ben
1 বংশা,1 বংশাৱলি,1 বংশাৱলি,1ch,ben
2বংশা,2 বংশাৱলি,2 বংশাৱলি,2ch,ben
ইজ্ৰা,ইজ্ৰা,ইজ্ৰা,ezr,ben
নহি,নহিমিয়া,নহিমিয়া,neh,ben
ইষ্ট,ইষ্টেৰ,ইষ্টেৰ,est,ben
ইয়ো,ইয়োব,ইয়োব,job,ben
গীত,গীতমালা,গীতমালা,psa,ben
হিতো,হিতোপদেশ,হিতোপদেশ,pro,ben
উপ,উপদেশক,উপদেশক,ecc,ben
পৰম,পৰমগীত,পৰমগীত,sng,ben
যিচ,যিচয়া,যিচয়া,isa,ben
যিৰি,যিৰিমিয়া,যিৰিমিয়া,jer,ben
বিলা,বিলাপ,বিলাপ,lam,ben
যিহি,যিহিষ্কেল,যিহিষ্কেল,ezk,ben
দানি,দানিয়েল,দানিয়েল,dan,ben
হোচ,হোচেয়া,হোচেয়া,hos,ben
যোৱে,যোৱেল,যোৱেল,jol,ben
আমো,আমোচ,আমোচ,amo,ben
ওব,ওবদিয়া,ওবদিয়া,oba,ben
যোনা,যোনা,যোনা,jon,ben
মীখা,মীখা,মীখা,mic,ben
নহূ,নহূম,নহূম,nam,ben
হব,হবক্কুক,হবক্কুক,hab,ben
চফ,চফনিয়া,চফনিয়া,zep,ben
হ্গ্গ,হ্গ্গয়,হ্গ্গয়,hag,ben
জখ,জখৰিয়া,জখৰিয়া,zec,ben
মলা,মলাখী,মলাখী,mal,ben
মথি,মথি,মথিয়ে লিখা শুভবাৰ্তা,mat,ben
মার্ক,মার্ক,মাৰ্কে লিখা শুভবাৰ্তা,mrk,ben
লূক,লূক,লূকে লিখা শুভবার্তা,luk,ben
