bookId,chapter,verse,commentary
1,2,4-25,"<p><strong><br/>2:4-4:26  EARLY HUMAN LIFE</strong></p><p><strong>Life in the Garden of Eden (2:4-25)</strong></p><p>From this point on, the story concentrates on the people God made, rather than on other features of the created universe. Again the Bible states that the world was not always as it is now, but was prepared stage by stage till it was suitable for human habitation. God created Adam (meaning ‘man’ or ‘mankind’) not out of nothing, but out of materials he had previously created. Like the other animals, Adam had his physical origins in the common chemicals of the earth, but his life existed in a special relationship with God that no other animal could share (4-7).<br/>This status of existing in God’s image brought with it the responsibility to respond to God’s purposes. God therefore placed Adam in a chosen locality, a beautiful parkland, for his training and testing. This parkland was part of a well watered territory known as Eden, situated somewhere in the region of Mesopotamia (8-14).<br/>With a variety of foods available and a variety of tasks to be carried out to maintain the garden, Adam had plenty of opportunity to develop in mind and body. He could mature through making choices and learning new skills. God’s instructions showed that he wanted the people of his creation to enjoy the fulness of their unique life (to eat of the tree of life), but they had to do so in submission to him. Their creation in the image of God meant they could not be independent of God. They did not have the unlimited right to do as they pleased, to be the sole judge of right and wrong (to eat of the tree of the knowledge of good and evil) (15-17).</p><p>Whether we see the two trees as metaphorical or literal, their meaning is the same. The emphasis in the story is not that the trees were magical, but that they presented Adam with a choice of either submitting to God or trying to be independent of him. Growth in devotion to God involves self-denial (Heb 5:8). Maturity comes through choosing the good and refusing the evil (Heb 5:14), and each victory over temptation would have helped Adam grow from a state of childlike innocence into one of adult maturity. His fellowship with God would have deepened, and his understanding of God’s purposes increased.</p><p>Because human life alone existed in God’s image, none of the other creatures could share this life in any satisfying way. God therefore gave Adam one of his own kind, but of the opposite sex, to be his companion. The man and the woman were equal in status as being made in God’s image (cf. 1:27) and were harmoniously united, to the exclusion of all others (18-25). The woman was later given the name Eve, meaning ‘life’ or ‘living’, because she was the one through whom future human life would come (see 3:20).</p>"
1,3,1-24,"<p><strong><br/>Human disobedience (3:1-24)</strong></p><p>Since human beings were made in God’s image, and since God was unlimited, the first human couple soon showed that they too wanted to be unlimited. They had to remember, however, that they were not God; they were only creatures made in the image of God. Just as the image of the moon on the water could not exist independently of the moon, so they could not exist independently of God. Their relationship with God contained an element of dependence, or limitation, and consequently God limited their freedom. He told them not to eat of the tree of the knowledge of good and evil.</p><p>Satan, the opponent of God and chief of the evil angels, set out to spoil the relationship between God and those created in his image. His evil work was to tempt them to go beyond the limit God had set, to be independent of God, to put themselves in the place of God, to make their own decisions, to rule their own lives, to be the independent judges of right and wrong. The root sin was pride - the desire people have to be their own god - and through this, Satan successfully tempted them to rebel against God (3:1-7). (For the identification of the snake with Satan see Revelation 12:9.)</p><p>In a sense the man and the woman gained a knowledge of good and evil, but from the standpoint of guilty sinners, not from the standpoint of a holy God. They knew evil through doing it, and the result was a feeling of shame (8-13).<br/>As for the deceiver Satan, his humiliation would be symbolized in the snake’s wriggling in the dirt. Henceforth, the human race (the descendants of Eve) would be in constant conflict with Satan. Yet God promised them victory over Satan. A snake might injure a man by biting his heel, but a man can kill a snake by crushing its head. Humankind had been successfully attacked by Satan, but through Jesus Christ humankind would eventually conquer Satan, though the conquest would involve suffering (14-15).<br/>The disorder created by human sin brought with it suffering for the whole human race. From this time on, people could live in God’s world and reproduce their own kind only through suffering. Conflict entered human relationships, and even the harmony between husband and wife became spoiled through domination (16-21).<br/>No longer were human beings at peace with God. They had rejected eternal life, and therefore God withheld it from them. They had wanted to be independent of God, and therefore God sent them away from his presence. They had wanted to determine good and evil for themselves, and therefore God drove them into a world where they would learn good and evil only through the sorrow and hardship created by their own mistakes (22-24).</p><p><strong>Sin and human death</strong></p><p>According to the Bible, human death is a result of sin (Rom 5:12). Yet it would seem from the nature of the human body that physical death is inevitable, whether sin is present or not. Is there a solution to this problem?</p><p>Adam was warned that on the day that he sinned he would die (see 2:17). When he sinned, he passed out of a condition where life dominated into one where death dominated. His whole being was affected, so that spiritually he was cut off from eternal life and physically he was certain to die (Rom 5:12-17). The saving work of Christ reverses the effects of sin, bringing victory over death in both its spiritual and physical aspects (Rom 6:23; 8:10-11; 1 Cor 15:21-22). Christ restores people, in the totality of their being, to the life that is proper to them, eternal life.</p><p>Some may argue that since human beings are creatures of the natural world, their lives are controlled by the laws of nature and therefore they must die as other animals do (Eccles 3:19-20). But the Bible shows that human beings are not simply creatures of the natural world. They are related to God in a way that makes them different from all other creatures.</p><p>It has been suggested that before Adam sinned, the spiritual life within him was so dominant that it prevented those natural processes towards bodily decay that we might normally expect. Sin so changed the situation that bodily decay could no longer be prevented and death became inevitable. If this was the case, physical death became at the same time a completely natural process and completely a result of sin. Where the spirit had complete control over the body death could not occur, but once it rebelled against God it lost control over the body and death resulted.<br/>We need not imagine the chaos of an over-populated world had sin and death not entered, with people being born but never dying. It is <em>death</em> that is the enemy, not the termination of earthly existence. Death has its ‘sting’ because of sin, but there may be some way of departing this world that has no such sting (1 Cor 15:26,55-56; cf. Gen 5:24; 2 Kings 2:11; 1 Cor 15:51-52; Heb 11:5).</p><p><strong>Results of sin in the natural world</strong></p><p>Concerning the death of other forms of life before the entrance of sin through Adam, we need not try to picture a world in which death never occurred. It is <em>human</em> death that is the consequence of sin. Even in the ideal conditions of the Garden of Eden, fruit and leaves died as they were separated from the trees they grew on (see 2:15-16). Wild creatures existed before Adam sinned (see 3:1). Tigers, sharks and ant-eaters no doubt fed on other animals and helped then, as they do now, to keep the balance of nature.</p><p>God did not create the world as one great paradise, nor did he intend human beings to spend their days in lazy idleness. It seems, in fact, that most of the world was untamed and awaited the arrival of the human race to enter its full glory (Rom 8:19-23). The duty of Adam and his descendants was to bring the earth under human control, something they would gradually achieve as their numbers increased and people moved out from Eden into the world beyond (see 1:28). But instead of being the means of God’s blessing to nature, they themselves fell into disorder.</p><p>The ideal conditions of paradise existed only in the Garden of Eden, where God placed the first human couple for their training and testing. When they sinned, they were driven from this garden into the untamed world outside. But because they had lost the spiritual life that God had given them, the physical creation that God intended for their development became the means of their torment. Physical effort and bodily functions that should have brought pleasure brought instead pain and hardship (see 3:16-19).</p><p><strong><br/></strong></p>"
1,4,1-16,"<p><strong><br/>Cain and Abel (4:1-16)</strong></p><p>Adam and Eve’s first two sons, Cain and Abel, maintained a belief in God and presented offerings to him. Abel offered the best of his flock in humble faith and God accepted him. Cain’s attitude was arrogant and his life ungodly, and therefore God rejected him (4:1-5; cf. Heb 11:4; 1 John 3:12). Since the attitude and conduct of the offerer were more important than his gifts, God told Cain that if he wanted God to accept him, he would have to overcome the sin that threatened to destroy him. That sin was like a wild beast crouching at the door, waiting to attack its victim (6-7).</p><p>Cain failed to overcome his sin and in jealous anger he killed Abel. His taking of Abel’s life called out for revenge from the one who had given that life. God therefore drove Cain into the barren countryside, away from the place where people, though sinners, at least still worshipped God. Although Cain remained unrepentant, God in his mercy protected him from any possible revenge killing (8-16).<br/></p>"
1,4,17-26,"<p><strong>Cain’s followers and Seth’s (4:17-26)</strong></p><p>Difficult though this new way of life was, the ungodly Cain was no doubt relieved to be free from the influence of God. The human population had been growing constantly, so in a plan to make himself secure Cain established his own independent settlement (17-18).<br/>The beginnings of settled life were marked by both good and evil. People made some progress in the raising of sheep and cattle, and developed skills in various arts and crafts, but morally they became worse. Lamech not only murdered a boy who had done no more than slightly injure him, but wrote a song to celebrate his crime. Cain had at least looked for, and received, God’s protection against revenge killing, but Lamech was so arrogant and defiant that he challenged anyone to take action against him (19-24).<br/>Cain’s descendants now disappear from the story. From this point on the story will be concerned with the descendants of another of Adam’s sons, Seth, for these were the ones who continued to worship God (25-26). Adam and Eve produced many sons and daughters (see 5:4), since part of their responsibility was to help populate the earth (see 1:28). Over a long period different racial groups emerged, as people settled in various regions and multiplied.</p><p>The Bible story, however, deals with the history of only a small portion of the human race, namely, that which produced the Semitic people, of whom the Hebrews were a part. This was the one line of descent through which people maintained a belief in the one true God (cf. Rom 1:20-23).</p><p><strong><br/></strong></p>"
1,5,1-32,"<p><strong><br/>5:1-32  GENEALOGY FROM ADAM TO NOAH</strong></p><p>As the human race expanded, the minority of people who remained faithful to God became smaller and smaller. The purpose of the genealogy recorded in this chapter is to trace from Adam to Noah that thin line of believers who kept alive the knowledge of God.</p><p>The genealogy does not name every descendant in the line from Adam to Noah, but selects ten important people to form an overall framework. Selective genealogies such as this, being easy to remember, were common in the ancient world. In Genesis 11:10-26 another selective genealogy, also based on ten names, carries on from this one to cover the time from Noah to Abram. (The genealogy of Jesus in Matthew 1:1-17 is also selective, omitting several names to produce a simple arrangement of three sets of fourteen.)</p><p>Genealogies, particularly selective genealogies, cannot be used to measure the age of the human race. The word ‘son’ may simply mean descendant, and the word ‘father’ may simply mean ancestor (e.g. Matt 1:1,8). The ten men named in the genealogy of this chapter are the ten most prominent men of the era. The list notes also the age of each man when he produced the son who became the first link in the chain between him and the next-named person. Death, as usual, demonstrated the results of sin (5:1-20).</p><p>The exceptional case of Enoch, however, might have encouraged the faithful to believe that death was not all-powerful. It would not always have power over those who pleased God (21-24; cf. Heb 11:5). The father of Noah expressed the hope that the ground also would be freed from the curse that human sin had brought (25-32).</p><p>Different weather and living conditions may have been part of the reason for the unusually long life spans of that time. (Non-biblical records also speak of unusually long life spans among ancient races in the Mesopotamian region.) Whatever the cause, it was no doubt a gracious provision by God in view of the need for people to spread out and bring more of the untamed world under their control (see 1:28). Such tasks were not easy when the human race was small in numbers and lacking in technical knowledge.</p>"
1,6,1-8,"<p><strong>6:1-9:29  REBELLION AND JUDGMENT</strong></p><p><strong>The wickedness of human society (6:1-8)</strong></p><p>As the population grew and societies developed, people again showed the tendency to want to exist independently of God. Like their original ancestors, they wanted to be as God and live for ever (cf. 3:5,22).</p><p>It seems that certain angels (the probable meaning of ‘sons of God’ in this story; cf. Job 1:6; 38:7; Dan 3:25) had, in rebellion against God, taken human form and co-operated with ambitious people in trying to produce a race of ‘super-humans’ who would be unconquerable and immortal. In response God reminded his human creatures that they were mortal, kept alive only by his spirit within them. In punishment he reduced the human life span from its former length to approximately 120 years (6:1-4). (God’s punishment of the angels is possibly referred to in 1 Peter 3:19-20 and Jude 6.)</p><p>People, however, did not heed God’s warning. Their wickedness continued to increase, till God decided that the only thing to do was to destroy them (5-8).</p><p><strong><br/></strong></p>"
1,9,8-17,"<p><strong><br/>God’s covenant with Noah (9:8-17)</strong></p><p>A covenant was an agreement between two parties that carried with it obligations and possibly benefits or punishments, depending on whether a person kept or broke the covenant. Covenants to which God was a party, however, differed from covenants between people in that they were not agreements between equals. God was always the giver and the other person the receiver. The covenant promises originated in the grace of God and were guaranteed solely by him.<br/>Earlier God had made a covenant promise to Noah to save him and his family (see 6:18). After the flood God made another covenant promise, and, like the first, it originated entirely in God’s grace. The covenant was made not with Noah as an individual but with all earthly life through him. God would never again destroy earthly life by a flood (8-11). God pointed Noah to the rainbow as his sign to all generations that the covenant depended entirely upon him for its fulfilment (12-17).</p><p><strong><br/></strong></p>"
1,9,18-29,"<p><strong><br/>Noah and his sons (9:18-29)</strong></p><p>On one occasion Noah brought shame upon himself through becoming drunk. But God’s condemnation was concerned more with Noah’s son Ham, and particularly his grandson Canaan who tried to add to Noah’s disgrace (18-23). God announced a curse on the descendants of Ham who would come through Canaan, though not on Ham’s other descendants. The descendants of Canaan would have their land taken from them by the descendants of Shem (the nation Israel) and they themselves would be made to serve Israel (24-26; see Josh 9:23; Judg 1:28; 1 Kings 9:21).</p><p>The descendants of Japheth, who spread to the north and west through Asia Minor and Greece, were promised a share in the blessings of Shem. This was fulfilled when the New Testament church spread through this region and multitudes of Gentiles believed. As a result they enjoyed the blessings of God’s people that formerly had been limited largely to Israelites (27-29; see Gal 3:14; Eph 3:6).</p><p><strong><br/></strong></p>"
1,10,1-32,"<p><strong><br/>10:1-11:26  GENEALOGIES FROM NOAH TO ABRAM</strong></p><p><strong>Nations descended from Noah (10:1-32)</strong></p><p>This genealogy must have been written hundreds of years after the time of Noah, when his descendants had multiplied and moved to many places. By that time differences in language, race and culture were noticeable. The purpose of the listing here is to trace the origin of these groups, not to name every single descendant of Noah.<br/>Again the genealogy is simplified, being based on a selection of seventy descendants. Most likely the names in the genealogy were originally the names of individuals, but later were applied to the peoples descended from them and, in some cases, to the territories or towns inhabited by those peoples. The record concerns only the sons of Noah, and says nothing about peoples in the more distant parts of the world who may not have been affected by the flood.<br/>Japheth’s descendants settled mainly in the regions north and north-west of Palestine, spreading across Asia Minor to Greece (10:1-5). The Hamites occupied Canaan (until the Israelites took it from them) and parts of Mesopotamia to the east, while in the south they spread to Egypt and the areas on the western side of the Red Sea (6-20). The descendants of Shem (Semites) also occupied parts of Mesopotamia, and spread south from there across Arabia. The particular part of the Semite family that produced the Israelites (that of Peleg) is merely mentioned here, being treated more fully in the next chapter (21-32).<br/>Sometimes the same name appears in more than one list, since there was much inter-marriage, migration and conquest among the various peoples. Also, it should be noted that the territory of Canaan, later to be occupied by the Israelites, contained many tribal groups (see 15:18-20; 23:17-20; 34:2,30), and sometimes the name of one of these tribal groups may have been used to refer to Canaanites in general (cf. 12:6; 15:16).</p><p><strong><br/></strong></p>"
1,11,1-9,"<p><strong><br/>Rebellion against God at Babel (11:1-9)</strong></p><p>Babel was one of the cities founded by Nimrod in the land of Shinar, ancient Babylonia (see 10:8-12). The people of this region, proud of the society they had established, displayed the same anti-God spirit as had brought about God’s judgment through the flood. They joined together to build for themselves a new city that would make them famous and give them complete security. They decided to crown their city with what they considered to be a skyscraper, as a symbol of their advanced civilization and complete self-sufficiency (11:1-4).<br/>Their skyscraper may have been a fortress, or it could have been a temple, but whatever it was God saw it as a symbol of rebellion. The more people progressed, the more they tried to use their collective abilities to build for themselves a society that would make them independent of God. God therefore smashed their unholy union decisively (5-9).</p>"
