language,books,chapter,url
mal,mrk,4,https://youtu.be/hKQGwWKWdHU
mal,mat,1,https://youtu.be/NXkx9-Ejppo
mal,mat,20,https://youtu.be/pFaFhLioHSY
mal,mat,17,https://youtu.be/7v-YALbfkJI
mal,mat,9,https://youtu.be/I648BV0cx5Y
mal,jhn,1,https://youtu.be/8R6sbCHiyhQ
mal,luk,17,https://youtu.be/P691xAiGO1E
mal,luk,13,https://youtu.be/5_v_98gom5c
mal,luk,7,https://youtu.be/cFwztxKWD_A
mal,luk,5,https://youtu.be/s_aOl-Z-VxU
mal,mat,25,https://youtu.be/Gq-Y8wUU19g
mal,mat,22,https://youtu.be/4U-zO_XeOzE
mal,mat,25,https://youtu.be/Q2s5KAt-dkU
mal,mat,25,https://youtu.be/tOm29FiutSo
mal,mat,24,https://youtu.be/ifv-nPo1t2k
mal,mat,21,https://youtu.be/OqmBiDWK1sw
mal,mat,20,https://youtu.be/uENgA6V6-Jo
mal,mat,18,https://youtu.be/QO9KMjI7QLs
mal,mat,13,https://youtu.be/VvmuLApwYPY
mal,mat,13,https://youtu.be/hBrwShOmjqU
mal,mat,13,https://youtu.be/EPR47xbLJ7E
mal,mat,13,https://youtu.be/BueEu8nh474
mal,mat,28,https://youtu.be/zVzlaGuoehE
mal,mat,24,https://youtu.be/Sf2oAfNNx2I
mal,mat,24,https://youtu.be/EVm3F_YdHoI
mal,mat,19,https://youtu.be/HWYqu5Aap9Q
mal,mat,7,https://youtu.be/AQV270BnHqc
mal,mat,6,https://youtu.be/LqsAh9w6cEM
mal,mat,6,https://youtu.be/Cu1bfJbyBqA
mal,mat,6,https://youtu.be/_brKpSel0IE
mal,mat,5,https://youtu.be/iO-7x65soGo
mal,mat,5,https://youtu.be/IHdKI3E3azQ
mal,mat,5,https://youtu.be/vzDigfQtvps
mal,mat,4,https://youtu.be/R-Va_MdInfs
mal,mat,3,https://youtu.be/QdTkNF-WG58
mal,jhn,17,https://youtu.be/Mk1_mrszJfg
mal,jhn,16,https://youtu.be/t75nQCgch-A
mal,jhn,15,https://youtu.be/2Mzon8f4dwo
mal,jhn,13,https://youtu.be/d11NFh9VYvE
