book,chapter,title,description,url
gen,1,Introduction,"Genesis which means beginning. It tells the story of how the world began and how God created all things, including animals of different kind and human beings both male and female.Moses,the Prophet,and the leader of Israel was an author of Pentateuch.The first book is Genesis.He wrote Genesis, Exodus, Leviticus, Numbers and Deuteronomy.All together known as Torah which means law.Bible doesn’t tell exactly when and where Genesis was written, but it was probably written by Moses during the years of Israelites encampment in the wilderness at Sinai.And it may be written to early Israelites after their Exodus from slavery in Egypt before they entered to the land of Canaan.",https://youtu.be/P6RCmVdf8A0
gen,1,Genesis 1,"00:09 The Creation of Earth and Sky, 01:23 Light- The First Day, 02:00 Sky- The Second Day, 02:50 Dry Land, Trees, Flowers and All the Plants – The Third Day, 04:16 Moon, Stars, and Sun- The Fourth Day, 05:58 Fishes and Birds of Different Kind- The Fifth Day, 07:04 Animals and Humans (Male and Female) – The Sixth Day",https://youtu.be/cE5aSbzJNgM
gen,2,Genesis 2,"00:10 Rest – The Seventh Day, 00:50 Creation of Eden Garden and Creation of First Man, 05:02 The First Man and The First Woman were Created for a Right Match",https://youtu.be/EQ6NU0YelSw
gen,3,Genesis 3,00:10 The Beginning of Sin,https://youtu.be/ednkK_gcIiw
gen,4,Genesis 4,"00:10 The First Family, 01:05 The First Murder, 04:15 Cain’s Descendant’s Story, 07:10 Adam and Even Again Have a Son",https://youtu.be/16LDgRQYbnk
gen,5,Genesis 5,00:10 Adam’s Descendants,https://youtu.be/Z1qulGnXBxw
gen,6,Genesis 6,"00:12 God Saw that People, Animal and Everything on the Earth Become Wicked., 02:35 Noah’s Family and Animals with him are Saved in the Great Flood.",https://youtu.be/_hydPXcZ9RQ
gen,7,Genesis 7,00:10 Ark and the Beginning of Flood,https://youtu.be/WDqUuPHbNT4
gen,8,Genesis 8,"00:11 Ark and the Water Recedes, 04:20 Noah Chooses Each Kind of Clean Animals and Offer Sacrifices to God.",https://youtu.be/sZqVX-dGmp4
gen,9,Genesis 9,"00:10 God’s Promise Shown to Noah, 04:26 Noah’s Family Has Problem",https://youtu.be/giL1Y7tui20
gen,10,Genesis 10,00:10 Noah’s Descendants Story,https://youtu.be/11PfzFoL5os
gen,11,Genesis 11,"00:09 Tower of Babel, 02:26 Shem’s Descendants Story, 05:26 Terah’s Family Story",https://youtu.be/5NiYpwwU-ko
gen,12,Genesis 12,"00:10 God Calls Abram, 01:19 Abram and His Family Goes to Canaan, 04:04 Abram and Sarai Went to Live in Egypt for a While",https://youtu.be/9TNJfvTLhR4
gen,13,Genesis 13,"00:09 Abram Returns to the Land of Canaan, 01:24 Abram and Lot Separate,Key moments",https://youtu.be/uOzHlkU3U2U
gen,14,Genesis 14,"00:11 Lot Was Captured During the Time of War, 06:53 Abraham Goes and Rescues Lot, 08:58 Melchizedek is a King and a Priest",https://youtu.be/qlERNF0mCDQ
gen,15,Genesis 15,00:10 God Promised Abraham to Give Land and Many Descendants,https://youtu.be/1khBf1bUhRw
gen,16,Genesis 16,"00:11 Sarah Has Problem with Hagar, 01:53 LORD’s Angel Appeared to Hagar",https://youtu.be/dl-9jDJxJpg
gen,17,Genesis 17,00:10 God’s Agreement and Promise with Abraham,https://youtu.be/8bqHkrZt_GA
gen,18,Genesis 18,"00:11 Abraham Welcomes Three Men to His Home, 03:35 Abraham Request God to Change His Plan",https://youtu.be/5cZlSCeDV1w
gen,19,Genesis 19,"00:10 Lot Welcomes Two Angels to His Home, 03:19 Angels Help Lot to Escape from Sodom, 06:15 God Destroyed Sodom and Gomorrah, 08:00 Lot and His Daughters",https://youtu.be/6riEUPJzqIA
gen,20,Genesis 20,00:10 Abraham Lies to Abimelech,https://youtu.be/HsOGJ-38uvc
gen,21,Genesis 21,"00:11 God Blesses Sarah with a Child, 01:45 Hagar and Ishmael were Sent Away, 04:59 Abraham and Abimelech Make an Agreement",https://youtu.be/m2xlc5_T8Hw
gen,22,Genesis 22,"00:11 God wants to Test How Much Abraham’s Faith Is, 05:35 Abraham Heard What Happen to His House",https://youtu.be/LPveVEFNnqg
gen,23,Genesis 23,00:11 Sarah Dies and Abraham Buries her,https://youtu.be/Ag4wOIxjG2s
gen,24,Genesis 24,00:11 Searching a Wife for Isaac,https://youtu.be/4iUkJc-IeyU
gen,25,Genesis 25,"00:11 Abraham Became Old and Died, 03:26 Ishmael’s Descendants, 06:04 Isaac’s Descendants",https://youtu.be/oaKF4g5GkY4
gen,26,Genesis 26,"00:13 Isaac Lies to Abimelech, 03:26 Isaac’s Successes Makes People Jealous and Trouble, 10:11 Esau’s Wives",https://youtu.be/02l2l8mFUTA
gen,27,Genesis 27,"00:14 Jacob Lies Isaac., 09:33 Jacob Leaves the Country",https://youtu.be/e4p2CILG2Qg
gen,28,Genesis 28,00:13 Jacob Left the Place and he had a Dream at Bethel,https://youtu.be/VUcNBS22WRI
luk,1,Introduction,"The Gospel of Luke is consisting of 24 chapters and is written by Luke, a physician, and a Gentile.He was a close companion of the Apostle Paul in his missionary journey also remained with Paul during Paul’s imprisonment in Rome.When and where; Luke began writing his account on Jesus probably at Caesarea and finished it in Rome between AD 65 and 70.Luke was a Greek, a gentile, therefore, he has written his gospel in a way that gentiles (non-Jew) would easily understand.In addition to this gospel Luke also wrote the book of Acts. Luke was a physician, missionary (associated with Paul in his mission) and above all, a historian. He was very careful both in his gospel and in the book of Acts to give accurate historical details.Luke wrote this historical account on Jesus to Theophilus probably a Roman official to establish him in the faith in Jesus Christ. Theophilus was a believer and then the purpose of the book was edification of the saint.Luke presents Jesus as ‘Son of Man’ ‘Perfect man’ and the key words in this gospel is ‘Salvation’ and ‘Son of Man’.Key verses:   2 :15,  4 :18-19,  19:10 ,Key chapters: 1, 4, 15 & 19",https://youtu.be/P6RCmVdf8A0
luk,1,Luke 1,"00:15 This is the good news about Jesus that Luke wrote, Luke writes the life of Jesus, 01:58 An angel announces the birth of John the Baptist, 09:44 An angel announces the birth of the saviour, 13:50 Mary visits Elizabeth, 15:32 Mary praises God, 19:19 The birth of John the Baptist, 21:48 Zachariah praises God",https://youtu.be/02sGYNaUKVc
luk,2,Luke 2,"00:15 Mary gave birth to the saviour, 03:08 Angels tell shepherds about Jesus’ birth and the shepherds visit him, 07:12 Joseph and Mary present Jesus in the temple, 08:29 Simeon saw Jesus and prophesied about him, 12:34 Anna thanked God for Jesus and told others about him, 15:18 The boy Jesus at the temple",https://youtu.be/lzXuGooJ0cQ
luk,3,Luke 3,"00:14 John the Baptist prepares the way for Lord Jesus, 09:34 Jesus is Baptized by John the Baptist, 10:29 The family history of Jesus",https://youtu.be/Paqq_AdiNTE
luk,4,Luke 4,"00:14 Jesus is tempted by the Devil, 04:20 Jesus begins His work in Galilee and rejected at Nazareth, 10:48 Jesus frees a man from an evil spirit, 12:44 Jesus heals Peter’s mother-in-law, 13:45 Jesus heals many others and goes to other towns",https://youtu.be/1P_zzMIvh7M
luk,5,Luke 5,"00:14 Jesus calls His first disciples, 00:50 Jesus heals a Man With Leprosy, 07:07 Jesus forgives and heals a paralyzed man, 12:12 Jesus Calls Levi (Matthew), 14:19 Jesus Questioned About Fasting",https://youtu.be/ypNKg-Ez-u4
luk,6,Luke 6,"00:15 Jesus is Lord of the Sabbath day, 04:20 Jesus choses His twelve Apostles, 07:00 Jesus heals a great multitude, 08:33 Jesus teaches people how to be His disciple?",https://youtu.be/1mhoqRQceW4
luk,7,Luke 7,"00:14 Jesus heals an army officer’s servant, 04:02 Jesus brings a woman’s son back to life, 06:24 John the Baptist sent two followers to ask Jesus a question, 14:02 A woman honors Jesus in a pharisee’s house",https://youtu.be/OJRBWv58jjA
luk,8,Luke 8,"00:13 The parable of a sower, 06:13 A lamp on a stand, 07:32 Jesus’ mother and brothers, 08:22 Jesus calms the storm, 10:11 Jesus frees a man from evil spirits, 15:29 Jesus raises a dead girl and heals a sick woman",https://youtu.be/hWgMS2E9Fdw
luk,9,Luke 9,"00:14 Jesus sent his twelve apostles to preach and heal people, 02:25 King Herod is confused about Jesus, 03:34 Jesus did a miracle to feed more than five thousand people, 06:42 Peter declared that Jesus is the Christ, 07:50 Jesus Predicts His Death, 10:30 Three disciples see Jesus’ glory, 13:29 Jesus expels an evil spirit from a boy, 15:55 Jesus talks about His death a second time, 16:49 Jesus tells his disciples that they must be humble, 17:40 Jesus tells whoever is not against Him is with Him, 18:27 The people of a Samaritan village refused to receive Jesus, 20:23 Following Jesus",https://youtu.be/F4kVyhIbOao
